"quadrat","quadratIsNotTheSameInAllStems"
"0101",480
"0102",30
"0103",7
"0109",5
"0112",1
"0113",4
"0114",4
"0116",2
"0117",1
"0118",2
"0119",40
"0120",2
"0121",3
"0122",25
"0123",24
"0124",16
"0125",15
"0126",57
"0127",55
"0128",40
"0129",41
"0130",8
"0132",1
"0311",1
"0312",3
"0329",1
"0330",1
"0513",2
"0515",6
"0613",1
"0614",1
"0710",1
"0711",1
"0815",1
"0816",7
"1116",2
"1117",2
"1401",2
"1402",2
"1602",1
"1603",13
"1630",1
"1631",1
"1701",2
"1702",1
"1703",3
"1704",4
"1802",3
"1808",9
"1810",10
"1901",1
"1903",1
"1904",1
"1908",2
"2001",1
"2002",1
"2003",18
"2005",2
"2006",2
"2007",13
"2008",1
"2009",1
"2010",25
