censusType,errorName,tag,StemTag,quadrat,sp,NAD83_X,NAD83_Y,x,y,lx,ly,dbh_previous,hom,codes_previous,status_previous,status_2022,comment_2022,dbh_current,status_current,codes_current,notes_current,census_status,mortality,mort_status,crown_position,crown_intact,crown_living,fad,liana_load,wounded_main_stem,rotting_trunk,canker_swelling_deformity,lean_angle,dead_with_resprout,dbh_if_dead,personnel,date_measured
both,suspiciousNegativeGrowth,40900,1,0413,caca,747448.672879792,4308767.87343157,-78.1468992870903,38.892955185749,9.2,19.9,162,1.3,I;M,A,AU,"",98,LI,"L,RT,I",Half of stem broken very irregular shape; no tag found only spray paint,1,1,LI,,,,,,,,,,,,IK,5/8/2023 5:48:41 PM
both,suspiciousNegativeGrowth,10138,22,0101,libe,747397.351816075,4308535.42026684,-78.1475740888781,38.8908774828468,12.5,8.7,16,1.3,S,alive,"","",11,LI,"",6 white,1,0,LI,,,,,,,,,,,,"IK,KB",4/11/2023 5:58:00 PM
both,suspiciousNegativeGrowth,10138,22,0101,libe,747397.351816075,4308535.42026684,-78.1475740888781,38.8908774828468,12.5,8.7,,1.3,S,alive,"","",11,LI,"",6 white,1,0,LI,,,,,,,,,,,,"IK,KB",4/11/2023 5:58:00 PM
both,suspiciousNegativeGrowth,12225,2,0119,caca,747381.484451905,4308960.56658902,-78.1476036539789,38.894708408129,6.5,14.1,99,1.3,M,alive,"","stem not sampled, info automatically filled from previous year info",48,LI,"","",1,0,LI,,,,,,,,,,,,"KB,IK",4/20/2023 2:37:01 PM
both,suspiciousNegativeGrowth,12225,2,0119,caca,747381.484451905,4308960.56658902,-78.1476036539789,38.894708408129,6.5,14.1,,1.3,M,alive,"","stem not sampled, info automatically filled from previous year info",48,LI,"","",1,0,LI,,,,,,,,,,,,"KB,IK",4/20/2023 2:37:01 PM
both,suspiciousNegativeGrowth,13609,2,0101,elum,747384.697078203,4308951.43865298,-78.1475699429169,38.8946253493177,,,,1.3,"","","","",14,LI,"","",1,,LI,,,,,0,,,,,0,,"RH,IK",4/18/2023 5:51:39 PM
both,suspiciousNegativeGrowth,13609,2,0101,elum,747384.697078203,4308951.43865298,-78.1475699429169,38.8946253493177,,,,1.3,"","","","",14,LI,"","",1,,LI,,,,,0,,,,,0,,"RH,IK",4/18/2023 5:51:39 PM
both,suspiciousPositiveGrowth,13284,1,0101,acne,747394.214234756,4308511.14094264,-78.1476189696079,38.8906598433695,8.8,4.5,17,1.3,NULL,A,"","",35,LI,L,"",1,0,LI,,,,,,,,,,,,"CT,IK",4/10/2023 6:29:00 PM
both,suspiciousPositiveGrowth,13306,1,0101,libe,747393.635923995,4308523.13075317,-78.1476213097116,38.8907679192454,8.5,16.5,12,1.3,NULL,A,"","",30,LI,"","Species likely incorrect, should be acne not libe?",2,0,LI,,,,,,,,,,,,"IK,CT",4/10/2023 2:18:21 PM
both,suspiciousPositiveGrowth,13316,1,0102,libe,747392.462198446,4308530.60553533,-78.1476321344032,38.8908355247055,7.5,4,16,1.3,NULL,A,"","",38,LI,"","",1,0,LI,,,,,,,,,,,,"CT,RH",4/11/2023 6:22:10 PM
