censusType,errorName,tag,table,quadrat,StemTag,lx,ly,dbh_previous,hom,codes_previous,status_previous,status_2022,comment_2022,mortality,census_status,dbh_current,status_current,codes_current,notes_current,crown_position,crown_intact,crown_living,fad,liana_load,lean_angle,wounded_main_stem,rotting_trunk,canker_swelling_deformity,dead_with_resprout,sp,NAD83_X,NAD83_Y,personnel,date_measured,x,y,dbh_if_dead,mort_status
both,quadratIsNA,13982,old_trees,,2,,,,1.3,"","","","",,1,10,LI,"","",,,,"",0,,,,,0,astr,747374.334906234,4309139.34883203,RH,5/2/2023 7:05:27 PM,-78.1476215788545,38.8963195192415,,""
both,quadratIsNA,22079,old_trees,,3,,,,1.3,"","","","",,1,12,LI,"","",,,,"",0,,,,,0,caca,747399.621008049,4308860.06029403,DM,5/8/2023 3:12:45 PM,-78.1474309898075,38.8937987110656,,""
both,quadratIsNA,22096,old_trees,,4,,,,1.3,"","","","",,1,11,LI,"","",,,,"",0,,,,,0,havi,747407.487051461,4308874.54666953,DM,5/10/2023 4:03:47 PM,-78.1473351773175,38.8939268783298,,""
both,quadratIsNA,22119,old_trees,,2,,,,1.3,"","","","",,1,20,LI,"","",,,,"",0,,,,,0,tiam,747400.064388629,4308892.67933923,"DM,EM",7/5/2023 3:44:30 PM,-78.1474141302129,38.8940921682791,,""
both,quadratIsNA,22181,old_trees,,2,,,,1.3,"","","","",,1,55,LI,DV,"",,,,"",0,,,,,0,caca,747396.23002154,4308928.60005232,DM,5/11/2023 4:56:03 PM,-78.1474453475371,38.8944165468462,,""
both,quadratIsNA,22203,old_trees,,4,,,,1.3,"","","","",,1,20,LI,"","",,,,"",0,,,,,0,vipr,747413.830789061,4308946.0130642,DM,5/11/2023 6:41:11 PM,-78.1472363644228,38.8945683131737,,""
both,quadratIsNA,22203,old_trees,,5,,,,1.3,"","","","",,1,18,LI,"","",,,,"",0,,,,,0,vipr,747413.830789061,4308946.0130642,DM,5/11/2023 6:41:11 PM,-78.1472363644228,38.8945683131737,,""
both,quadratIsNA,22225,old_trees,,4,,,,1.3,"","","","",,1,17,LI,"","",,,,"",0,,,,,0,vipr,747396.296492009,4308955.90896431,DM,5/16/2023 2:54:10 PM,-78.1474347420146,38.8946623174095,,""
both,quadratIsNA,22225,old_trees,,5,,,,1.3,"","","","",,1,15,LI,M,"",,,,"",0,,,,,0,vipr,747396.296492009,4308955.90896431,DM,5/16/2023 2:54:10 PM,-78.1474347420146,38.8946623174095,,""
both,quadratIsNA,22225,old_trees,,6,,,,1.3,"","","","",,1,11,LI,"","",,,,"",0,,,,,0,vipr,747396.296492009,4308955.90896431,DM,5/16/2023 2:54:10 PM,-78.1474347420146,38.8946623174095,,""
