censusType,errorID,errorType,errorName,referenceTable,referenceTableFilter,referenceTableSelect,currentTable,currentTableFilter,currentTableSelect,idxError,errorDescription
both,1,error,duplicatedStemTags,stem,1:nrow(referenceTable),,stem,"duplicated(paste(tag, StemTag))","paste(tag, StemTag)","paste(reference$tag, reference$StemTag) %in% current",Make sure no stem was recorded more than once
both,2,error,missedStem,mainCensus,quadrat %in% currentTable$quadrat,"paste(tag, StemTag)",stem,1:nrow(currentTable),"paste(tag, StemTag)",!reference %in% current,Make sure no stem were missed in the quadrats already censused
both,3,warning,suspiciousNegativeGrowth,stem,1:nrow(referenceTable),"paste(tag, StemTag)",stem,dbh_previous*.972 > dbh_current & !is.na(dbh_previous) & !is.na(dbh_current),"paste(tag, StemTag)",reference %in% current,Check for diameters that decrease too much
both,4,warning,suspiciousPositiveGrowth,stem,1:nrow(referenceTable),"paste(tag, StemTag)",stem,dbh_previous*1.125 < dbh_current & !is.na(dbh_previous) & !is.na(dbh_current),"paste(tag, StemTag)",reference %in% current,Check for diameters that increase too much
both,5,error,missingDBH,stem,1:nrow(referenceTable),"paste(tag, StemTag)",stem,!is.na(dbh_previous) & is.na(dbh_current),"paste(tag, StemTag)",reference %in% current,Check that all DBH were measured
both,6,error,unjustifiedZeroDBH,stem,1:nrow(referenceTable),"paste(tag, StemTag)",stem,"dbh_current %in% 0 & !grepl('\\<C\\>|\\<X\\>', codes_current)","paste(tag, StemTag)",reference %in% current,Check that dbh=0 is justified by X or C in codes
both,7,error,missingCrownPosition,stem,1:nrow(referenceTable),"paste(tag, StemTag)",stem,"is.na(crown_position) & status_current %in% c('A',  'DS')","paste(tag, StemTag)",reference %in% current,"Check that crown position was recorded if status is A, or DS"
both,8,warning,deadButNowAlive,stem,1:nrow(referenceTable),"paste(tag, StemTag)",stem,"(grepl('D', status_previous) & status_current %in% c('A')) | (grepl('D',status_2021) & status_current %in% c('A'))","paste(tag, StemTag)",reference %in% current,Check if tree was found alive after being recorded as dead
both,9,error,DCbutNowDS,stem,1:nrow(referenceTable),"paste(tag, StemTag)",stem,"(grepl('DC', status_previous) & status_current %in% c('DS')) | (grepl('DC',status_2021) & status_current %in% c('DS'))","paste(tag, StemTag)",reference %in% current,Check that no down tree is back standing
mortality,10,error,missingPercentCrownIntact,stem,1:nrow(referenceTable),"paste(tag, StemTag)",stem,"mortality %in% 1 & is.na(percent_of_crown_intact ) & mort_status %in% c('A', 'AU', 'DS')","paste(tag, StemTag)",reference %in% current,"Check that percent crown intact was recorded if status is A, AU or DS"
